
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                  
   1335      22     8516      16216       5.14   1760   0 svchost                                                      
    401      14     3764      11832       0.38   1808   0 svchost                                                      
    308      14     3772      19728       0.52   2060   0 svchost                                                      
    125      11     1728       5108       0.02   2076   0 svchost                                                      
    160      28     5428       8468       0.22   2124   0 svchost                                                      
    245      13     8872      20488       0.41   2180   0 svchost                                                      
    168      11     2196       7884       0.55   2204   0 svchost                                                      
   1241      36    10576      19076       1.06   2256   0 svchost                                                      
    174       7     1756       5436       0.19   2296   0 svchost                                                      
    162      11     2452       8084       0.16   2408   0 svchost                                                      
    355      20     6548      11476      82.23   2580   0 svchost                                                      
    412      14    20104      26368       0.73   2604   0 svchost                                                      
    234       8     1592       4984       0.13   2660   0 svchost                                                      
    257      14     3192      18992       5.16   2668   0 svchost                                                      
    193      11     2336       7948       0.06   2676   0 svchost                                                      
    202      14     2532       9676       0.06   2856   0 svchost                                                      
    367      18     4452       8732       0.86   3012   0 svchost                                                      
    264      12     2692       8852       0.39   3044   0 svchost                                                      
    312      16     4192      10108       0.59   3160   0 svchost                                                      
    424      15     4068      18960       1.28   3184   0 svchost                                                      
    165      10     1804       7456       0.08   3276   0 svchost                                                      
    377      29     5576      15772       0.23   3312   0 svchost                                                      
    504      18     4372      10168       0.13   3364   0 svchost                                                      
    158      10     2268       6212       0.06   3380   0 svchost                                                      
    256      16     3480      13340       0.23   3452   0 svchost                                                      
    220      13     2592      13528       0.02   3648   0 svchost                                                      
    486      36    13980      21340       1.27   3668   0 svchost                                                      
    365      11    20716      29808       3.56   3748   0 svchost                                                      
    201      11     2228       7108       0.06   3756   0 svchost                                                      
    139       9     1932       6512       0.03   3940   0 svchost                                                      
    412      26    15860      25980       2.02   4100   0 svchost                                                      
    819      29    29104      48804       3.23   4120   0 svchost                                                      
    404      24     3448      10388       0.08   4148   0 svchost                                                      
    142       8     1516       4800       0.00   4236   0 svchost                                                      
    526      21    13484      23128       1.77   4296   0 svchost                                                      
    137       9     1952       6740       0.02   4332   0 svchost                                                      
    454      22     5460      22364       0.23   4344   0 svchost                                                      
    421      25     3896      17392       0.09   4508   0 svchost                                                      
    228      13     2804       8744       0.06   4612   0 svchost                                                      
    159       9     2096      10420       0.02   5036   0 svchost                                                      
    277      14     7756      12060       0.55   5128   0 svchost                                                      
    291      16     4396      29452       0.09   5164   2 svchost                                                      
    498      22     5868      34896       0.17   5324   0 svchost                                                      
    197      12     1840       9992       0.00   5552   0 svchost                                                      
    156      43     1988      10024       0.03   6364   0 svchost                                                      
    145       9     1700       8884       0.02   6836   0 svchost                                                      
    304      14     4140      16104       2.39   6968   0 svchost                                                      
    223      19    10116      23624       0.22   6976   0 svchost                                                      
    353      17     4932      21788       1.09   7212   0 svchost                                                      
    233      11     2848       7912       0.02   7320   0 svchost                                                      
